Iteration,WinRate,AvgProfitVsBnH,TrainReward
0,48.0,-29.16794,0.007682064548134804
1,52.0,-45.72977,0.015523097477853298
2,42.0,-0.1713037,0.020579392090439796
3,44.0,-41.81041,0.02725735865533352
4,36.0,-51.08011,0.037302810698747635
5,52.0,-6.1973658,0.04342738166451454
6,34.0,-104.2882,0.04573153704404831
7,40.0,-54.30498,0.05261051654815674
8,48.0,-6.4627223,0.049437474459409714
9,54.0,0.30253053,0.0553298145532608
10,50.0,-33.77634,0.06059369817376137
11,52.0,1.4736999,0.05937514454126358
12,50.0,-29.087933,0.06135243922472
13,48.0,-42.254894,0.06066272780299187
14,44.0,-73.60366,0.0638803020119667
15,56.00000000000001,-19.969698,0.06704261898994446
16,46.0,-51.99414,0.06728408485651016
17,48.0,-34.693,0.0670095831155777
18,44.0,-43.921818,0.06613922864198685
19,56.00000000000001,-16.27681,0.06641358137130737
